position	stat
245	5.804e-01
275	7.717e-01
318	1.289e+00
348	2.027e+00
410	7.387e-01
463	2.869e-01
495	2.770e-01
538	6.156e-01
580	1.422e+00
625	1.979e+00
638	1.289e+00
650	4.353e-01
673	2.114e-01
695	2.144e-01
705	1.557e+00
743	7.310e-01
758	1.020e+00
798	1.095e+00
850	1.042e+00
878	6.641e-01
903	4.168e-01
923	3.321e-01
940	6.986e-01
995	1.099e+00
1008	8.977e-01
1033	1.028e+00
1040	6.412e-01
1123	7.413e-01
1143	4.585e-01
1173	8.777e-01
1180	4.519e-01
1203	4.523e-01
1285	3.504e-01
1293	3.721e-01
1328	3.143e-01
1358	3.523e-01
1438	2.134e-01
1468	3.034e-11
1488	3.034e-01
1498	5.260e-01
1520	4.947e-01
1565	5.374e-01
1575	2.473e+00
1618	3.149e+00
1653	3.767e-01
1673	5.840e-01
1703	2.347e-01
1718	5.805e-01
1733	1.102e+00
1743	8.450e-01
1785	4.534e-01
1815	9.893e-01
1850	2.553e-01
1868	9.527e-02
1978	1.084e+00
1983	2.168e-01
2005	5.802e-12
2018	1.950e-11
2080	7.654e-11
2113	5.645e-01
2148	5.710e-01
2198	5.204e-01
2213	2.267e-01
2330	2.137e-01
2333	4.108e-01
2355	1.876e-01
2363	8.336e-01
2455	7.182e-01
2478	6.918e-01
2495	3.092e-01
2550	2.290e-01
2565	2.565e-01
2618	5.496e-01
2623	2.870e-01
2633	2.691e-02
2660	6.183e-02
2700	1.539e-01
2715	2.748e-01
2745	6.145e-01
2783	6.069e-01
2795	1.649e-01
2838	2.757e-01
2848	2.954e-11
2858	2.585e-11
2885	2.164e-11
2893	2.004e-11
2983	4.065e-01
3023	3.721e-01
3070	6.389e-01
3095	1.443e+00
3115	7.786e-01
3133	4.683e-01
3145	2.111e-01
3153	4.227e-01
3163	4.347e-01
3260	5.130e-01
3278	1.220e-01
3320	2.437e-01
3358	2.405e-01
3385	1.374e-11
3400	2.308e-11
3428	2.404e-01
3450	4.947e-01
3463	1.076e+00
3493	6.797e-01
3500	6.669e-01
3543	3.364e-01
3615	6.727e-01
3653	2.071e+00
3758	3.308e+00
3783	4.163e+00
3818	2.322e+00
3835	2.616e+00
3860	1.614e+00
3868	1.740e+00
3903	1.704e+00
3960	1.731e+00
3983	7.443e-01
4118	4.448e-01
4130	4.641e-01
4145	7.817e-02
4173	5.290e-01
4215	6.595e-01
4223	6.458e-01
4253	1.614e+00
4260	9.618e-01
4268	1.683e+00
4308	8.038e-01
4340	4.740e-01
4370	5.977e-01
4473	8.966e-01
4518	9.362e-01
4523	8.359e-01
4540	7.786e-01
4550	1.965e-01
4555	2.015e-01
4563	2.597e-01
4598	6.962e-02
4635	1.099e-01
4760	1.282e-01
4770	1.389e-01
4778	1.195e-01
4795	6.489e-02
4840	1.145e-01
4853	3.034e-01
4860	7.695e-01
4900	4.397e-01
4920	9.069e-01
4988	6.492e-01
4993	6.286e-01
5000	6.183e-01
5060	1.484e+00
5123	1.731e+00
5160	2.052e+00
5178	2.081e+00
5210	7.145e-01
5228	6.788e-01
5260	5.478e-01
5263	1.220e+00
5273	1.077e+00
5330	6.925e-01
5358	5.963e-01
5388	2.078e-01
5403	3.655e-01
5418	2.697e-01
5425	2.821e-01
5448	9.962e-01
5453	8.966e-01
5495	7.035e-01
5530	7.739e-01
5570	1.855e+00
5578	2.204e+00
5585	8.244e-01
5610	7.914e-01
5640	3.908e-01
5665	2.656e-01
5668	1.740e-01
5718	7.182e-01
5745	3.078e-01
5785	4.275e-01
5795	3.664e-01
5805	3.987e-01
5853	2.836e-01
5888	2.308e-01
5953	1.305e+00
5963	8.382e-01
6000	8.208e-01
6013	2.144e-01
6028	4.287e-01
6035	8.794e-01
6050	7.695e-01
6085	1.145e-01
6110	6.183e-02
6178	4.031e-02
6198	6.298e-02
6228	6.183e-02
6235	7.145e-02
6253	2.863e-02
6268	1.063e-01
6283	2.214e-01
6290	2.198e-01
6345	2.638e-01
6483	1.712e+00
6515	1.808e+00
6523	3.647e+00
6533	3.807e+00
6548	1.789e+00
6575	3.229e+00
6595	1.847e+00
6618	3.627e+00
6668	3.567e+00
6805	9.160e-01
6865	3.160e-01
6900	7.695e-01
6910	3.334e-01
6935	3.692e-01
6955	3.453e-01
6983	5.269e-01
7060	8.931e-01
7098	2.566e+00
7135	2.528e+00
7178	1.389e+00
7215	2.418e+00
7223	1.896e+00
7245	1.917e+00
7313	4.153e+00
7355	5.496e+00
7453	1.085e+00
7490	9.761e-01
7558	1.975e+00
7573	3.860e+00
7598	5.313e+00
7683	4.740e+00
7688	4.740e+00
7805	5.771e+00
7853	2.556e+00
7890	2.251e+00
7925	2.565e+00
7998	5.668e+00
8033	6.011e+00
8060	3.447e+00
8175	2.404e+00
8193	4.483e+00
8263	4.390e+00
8348	6.114e+00
8353	3.567e+00
8405	3.933e+00
8498	2.159e+00
8528	1.704e+00
8590	1.305e+00
8628	1.474e+00
8660	1.832e+00
8713	4.660e+00
8875	4.470e+00
8885	3.550e+00
8938	3.464e+00
