position	stat	extra
1799	3235	1.06701
1813	3246	1.06247
2548	4396	1.46887
2864	4415	1.93121
2890	4429	1.88659
3692	5985	2.55721
4598	6003	1.93239
4728	6251	2.55319
4917	6611	2.59163
4957	6678	1.71669
4968	6690	1.43197
5546	6696	1.07828
5570	6725	1.18929
5578	6726	0.605001
6543	7100	0.432474
6765	7527	0.677617
6892	7532	0.655504
7082	7553	1.11544
7387	8095	0.626207
7411	8132	0.541651
7415	8134	0.538117
7553	8381	0.590685
7557	8388	0.745053
7901	8701	0.543527
8226	8925	0.481597
8247	8961	0.4294
8439	9324	0.463797
8733	9371	0.341177
8979	9826	0.361167
9120	10105	0.518037
9815	11249	0.506285
9863	11338	0.829082
10024	11346	0.868724
10141	11357	0.869773
10173	11385	0.860706
10627	11930	0.682688
10657	11942	0.643039
11569	13312	0.831564
11722	13339	0.545898
12313	13377	0.51411
12497	13655	0.778708
13244	15141	0.671666
13272	15186	0.532657
13293	15201	0.347639
13568	15205	0.166465
13580	15218	0.333602
14292	15271	0.244578
14307	15274	0.231013
14329	15280	0.319253
14470	15285	0.221919
15220	15299	0.134213
15796	16405	0.36242
15809	16417	0.359871
15816	16426	0.364119
15825	16431	0.476541
15852	16433	0.41885
15855	16435	0.417717
15858	16436	0.57953
16274	17262	1.88719
16322	17345	1.59757
17598	18791	2.15949
17608	18799	2.95642
17640	18854	5.46699
17663	18895	2.96104
17668	18902	2.54456
20244	24053	5.89144
20315	24193	8.53651
20756	24250	6.38712
20806	24266	10.1196
22036	25281	6.03737
22046	25293	5.09732
22098	25342	5.67252
22153	25410	8.02382
22184	25466	12.2448
24767	25481	1.33663
24844	25495	2.16377
24890	25530	0.951755
25258	26250	1.57104
26064	26846	1.21899
26084	26875	0.842746
26143	26944	0.771234
26209	27008	0.910802
26245	27024	0.619251
26283	27084	0.857636
26870	28245	1.67006
27024	28518	2.03681
27712	29173	2.7219
28454	30062	1.16957
28470	30065	1.115
28566	30188	1.1347
30387	33766	2.37938
30427	33829	3.83386
30474	33863	7.6342
31056	33866	4.4466
31481	34444	5.59498
31850	34526	8.08742
32827	35591	5.21899
33487	36909	6.29919
33596	37004	6.51714
36661	39555	5.12464
36725	39620	7.38164
36958	40053	4.38294
36964	40061	5.48388
37256	40068	5.97451
37311	40095	6.89964
37847	40102	5.75014
38647	40384	4.65143
38710	40415	4.08644
40202	40849	0.787341
40273	40926	0.795919
40521	40988	1.03286
40529	40997	0.810789
40543	41018	0.688121
40574	41052	1.08512
40596	41089	0.902007
40750	41115	0.620102
40783	41151	0.416902
41016	41183	0.189153
41072	41217	0.0824555
41130	41271	0.160347
41550	42103	0.626489
41570	42121	0.624786
41806	42560	0.649878
41826	42563	0.31534
42376	43637	0.612324
42459	43767	0.63863
42532	43881	0.658056
42558	43899	0.65376
43243	45214	1.01071
43672	45240	7.82251e-11
44051	45981	9.01474e-11
44277	45994	0.883081
44970	47377	2.5268
45566	47494	1.98475
47032	50296	3.49745
47095	50309	5.17167
47107	50315	6.88302
47771	50328	5.40998
47837	50433	7.73114
48208	50434	7.03634
48232	50469	7.0683
49551	51725	3.15241
49622	51749	2.31281
51309	52322	2.04342
51334	52358	2.59133
51341	52366	2.07533
51827	53326	1.41248
52138	53843	1.75844
55125	59815	1.23933
55197	59925	1.28126
55915	60104	1.00657
56803	61856	1.14764
57097	61872	1.03193
57121	61884	0.674628
57219	62071	0.388019
57703	62080	0.377319
58111	62378	0.259717
61111	62406	0.234102
